time,open,high,low,close,TWAP,VWAP,Plot
1682726400,47.98,48.77,43.32,44.5,45.53,45.53,NaN
1682812800,44.5,45.99,41,42.24,43.076666666666675,43.076666666666675,NaN
1682899200,42.24,42.64,39.68,41.38,41.23333333333333,41.23333333333333,NaN
1682985600,41.38,45.04,40.5,44.39,43.31,43.31,NaN
1683072000,44.39,48.09,42.66,47.29,46.01333333333333,46.01333333333333,NaN
1683158400,47.29,47.47,40.95,43.43,43.949999999999996,43.949999999999996,NaN
1683244800,43.43,45.26,38,40.23,41.16333333333333,41.16333333333333,NaN
1683331200,40.23,40.54,38,38.49,39.01,39.01,NaN
1683417600,38.49,44.8,36.8,42.95,41.516666666666666,41.516666666666666,NaN
1683504000,42.95,43.66,33,40.89,39.18333333333333,39.18333333333333,NaN
1683590400,40.89,40.9,36.63,39.01,38.846666666666664,38.846666666666664,NaN
1683676800,39.01,44.01,36.7,39.71,40.14000000000001,40.14000000000001,NaN
1683763200,39.71,39.81,36,37.96,37.92333333333334,37.92333333333334,NaN
1683849600,37.96,39.03,33.2,35.34,35.85666666666667,35.85666666666667,NaN
1683936000,35.34,37.52,32,35.24,34.92000000000001,34.92000000000001,NaN
1684022400,35.24,36.1,30.78,35.15,34.01,34.01,NaN
1684108800,35.15,37.34,33.32,34.28,34.98,34.98,NaN
1684195200,34.28,45,34.18,44.04,41.07333333333333,41.07333333333333,NaN
1684281600,44.04,54.41,41.21,49.92,48.51333333333334,48.51333333333334,NaN
1684368000,49.92,53.95,46.62,47.99,49.52,49.52,NaN
1684454400,47.99,55.9,46.5,49.89,50.76333333333334,50.76333333333334,NaN
1684540800,49.89,54.84,47.82,53.99,52.21666666666667,52.21666666666667,NaN
1684627200,53.99,56.06,46.3,47.9,50.086666666666666,50.086666666666666,NaN
1684713600,47.9,49.69,46.3,48.54,48.17666666666667,48.17666666666667,NaN
1684800000,48.54,51.67,47.16,49.96,49.596666666666664,49.596666666666664,NaN
1684886400,49.96,51,43.97,44.75,46.57333333333333,46.57333333333333,NaN
1684972800,44.75,48,43,46.53,45.843333333333334,45.843333333333334,NaN
1685059200,46.53,60.32,46.49,58.38,55.06333333333333,55.06333333333333,NaN
1685145600,58.38,69.45,56.51,64.51,63.49000000000001,63.49000000000001,NaN
1685232000,64.51,66.32,59.16,63.27,62.916666666666664,62.916666666666664,NaN
1685318400,63.27,69.06,61.5,66.76,65.77333333333333,65.77333333333333,NaN
1685404800,66.76,71.89,62.42,62.63,65.64666666666666,65.64666666666666,NaN
1685491200,62.63,67.4,55,58.96,60.45333333333334,60.45333333333334,NaN
1685577600,58.96,59.68,53,54.57,55.75,55.75,NaN
1685664000,54.57,65.05,53.97,63.54,60.85333333333333,60.85333333333333,NaN
1685750400,63.54,64.78,58.72,61.9,61.800000000000004,61.800000000000004,NaN
1685836800,61.9,62.15,55.16,57.48,58.26333333333333,58.26333333333333,NaN
1685923200,57.48,58,49.8,50.78,52.85999999999999,52.85999999999999,NaN
1686009600,50.78,56.13,50.1,54.36,53.53,53.53,NaN
1686096000,54.36,55.37,49.37,49.89,51.54333333333333,51.54333333333332,NaN
1686182400,49.89,52.86,48.85,50.83,50.84666666666667,50.846666666666664,NaN
1686268800,50.83,51.99,46.02,50.88,49.63,49.63,NaN
1686355200,50.88,51.09,40,44.87,45.32,45.32,NaN
1686441600,44.87,53.32,44.62,50.18,49.373333333333335,49.373333333333335,NaN
1686528000,50.18,54.94,46.51,52.58,51.34333333333333,51.34333333333333,NaN
1686614400,52.58,61.13,50.88,54.48,55.49666666666667,55.49666666666667,NaN
1686700800,54.48,60,51.96,54.09,55.35,55.35,NaN
1686787200,54.09,55.68,45.98,49.42,50.35999999999999,50.35999999999999,NaN
1686873600,49.42,55.7,48.58,53.95,52.74333333333334,52.74333333333334,NaN
1686960000,53.95,57.23,49.57,54.55,53.78333333333333,53.78333333333333,NaN
1687046400,54.55,54.99,49.54,50.06,51.53,51.53,NaN
1687132800,50.06,53.79,49.31,53.42,52.173333333333325,52.173333333333325,NaN
1687219200,53.42,54.56,50.61,53.25,52.80666666666667,52.80666666666667,NaN
1687305600,53.25,58.81,51.94,58.72,56.49,56.49,NaN
1687392000,58.72,59.79,49.18,52.16,53.71,53.71,NaN
1687478400,52.16,56.83,49.82,52.56,53.07,53.07,NaN
1687564800,52.56,53.03,50.5,50.94,51.49,51.49,NaN
1687651200,50.94,51.98,49.9,50.15,50.67666666666667,50.67666666666667,NaN
1687737600,50.15,51.12,45.98,47.38,48.16,48.16,NaN
1687824000,47.38,49.31,43.6,48.72,47.21,47.21,NaN
1687910400,48.72,51.41,46.53,49.67,49.20333333333334,49.20333333333334,NaN
1687996800,49.67,51.2,48,50.45,49.88333333333333,49.88333333333334,NaN
1688083200,50.45,51.83,49.35,50.65,50.61000000000001,50.61000000000001,NaN
1688169600,50.65,51.1,46.74,47.92,48.586666666666666,48.586666666666666,NaN
1688256000,47.92,51.73,46.51,46.79,48.343333333333334,48.343333333333334,NaN
1688342400,46.79,48.48,46.12,47.95,47.51666666666667,47.51666666666667,NaN
1688428800,47.95,47.97,44.23,46.05,46.083333333333336,46.083333333333336,NaN
1688515200,46.05,51.6,45.99,47.8,48.46333333333333,48.46333333333333,NaN
1688601600,47.8,51,46,48.41,48.47,48.47,NaN
1688688000,48.41,51.51,47,49.21,49.24,49.24,NaN
1688774400,49.21,53,48.37,53,51.45666666666667,51.45666666666667,-1.6591008968865018
1688860800,53,53.35,48.42,50.2,50.65666666666667,50.65666666666667,-1.833641275650508
1688947200,50.2,58.02,48.73,55.68,54.14333333333334,54.14333333333334,-1.2178126314394901
1689033600,55.68,62.3,55,60.9,59.4,59.4,-0.2518763442991831
1689120000,60.9,71.39,59.56,68.24,66.39666666666666,66.39666666666666,0.7087301958382868
