time,open,high,low,close,TWAP,VWAP,Plot
1696377600,1.533,1.562,1.453,1.542,1.5190000000000001,1.5190000000000001,NaN
1696464000,1.542,1.59,1.489,1.507,1.5286666666666668,1.5286666666666668,NaN
1696550400,1.508,1.69,1.504,1.653,1.6156666666666666,1.6156666666666666,NaN
1696636800,1.653,1.682,1.587,1.602,1.6236666666666668,1.6236666666666668,NaN
1696723200,1.602,1.635,1.566,1.583,1.5946666666666667,1.594666666666667,NaN
1696809600,1.583,1.606,1.485,1.551,1.5473333333333334,1.5473333333333334,NaN
1696896000,1.55,1.57,1.51,1.552,1.5439999999999998,1.5439999999999998,NaN
1696982400,1.553,1.658,1.521,1.631,1.6033333333333333,1.6033333333333335,NaN
1697068800,1.632,1.639,1.444,1.463,1.5153333333333334,1.5153333333333334,NaN
1697155200,1.463,1.509,1.425,1.486,1.4733333333333334,1.4733333333333334,NaN
1697241600,1.486,1.516,1.462,1.495,1.4909999999999999,1.4909999999999997,NaN
1697328000,1.495,1.546,1.474,1.529,1.516333333333333,1.516333333333333,NaN
1697414400,1.528,1.688,1.51,1.609,1.6023333333333334,1.6023333333333334,NaN
1697500800,1.61,1.677,1.585,1.624,1.6286666666666667,1.6286666666666667,NaN
1697587200,1.625,1.642,1.452,1.455,1.516333333333333,1.516333333333333,NaN
1697673600,1.455,1.508,1.4,1.453,1.4536666666666667,1.4536666666666667,NaN
1697760000,1.452,1.571,1.435,1.518,1.508,1.508,NaN
1697846400,1.518,1.662,1.493,1.609,1.588,1.588,NaN
1697932800,1.609,1.736,1.566,1.633,1.6450000000000002,1.645,NaN
1698019200,1.633,1.675,1.482,1.652,1.603,1.603,NaN
1698105600,1.651,1.807,1.591,1.679,1.6923333333333332,1.6923333333333332,NaN
1698192000,1.679,1.841,1.657,1.805,1.7676666666666667,1.7676666666666665,NaN
1698278400,1.804,1.927,1.685,1.854,1.822,1.822,NaN
1698364800,1.854,1.949,1.752,1.875,1.858666666666667,1.858666666666667,NaN
1698451200,1.875,1.956,1.824,1.837,1.8723333333333334,1.8723333333333334,NaN
1698537600,1.837,1.87,1.784,1.8,1.8179999999999998,1.8179999999999998,NaN
1698624000,1.8,1.938,1.8,1.887,1.875,1.8750000000000002,NaN
1698710400,1.886,2.05,1.867,2.032,1.9829999999999999,1.9829999999999999,NaN
1698796800,2.033,2.043,1.839,1.886,1.9226666666666665,1.9226666666666663,0.0341366047670406
1698883200,1.886,1.923,1.705,1.751,1.793,1.793,-1.0784160739261603
1698969600,1.751,1.873,1.703,1.855,1.8103333333333333,1.8103333333333333,-1.524358891336284
1699056000,1.856,1.905,1.839,1.868,1.8706666666666667,1.8706666666666667,-0.9647068077194119
1699142400,1.869,1.892,1.792,1.821,1.835,1.835,-0.9481735022486728
1699228800,1.82,1.869,1.778,1.821,1.8226666666666667,1.8226666666666667,-1.4416918076876237
1699315200,1.821,1.864,1.739,1.842,1.8150000000000002,1.8150000000000002,-1.6828136170432644
1699401600,1.842,1.86,1.781,1.832,1.8243333333333334,1.8243333333333334,-1.5810896711573683
1699488000,1.833,1.913,1.555,1.758,1.742,1.742,-1.9945687858829155
1699574400,1.759,2,1.672,1.96,1.8773333333333333,1.877333333333333,-1.9712194071875564
